Sample,Assay,Platform,ht,ht_bin,qPCR,qPCR_bin
ID_080316_SHER_02,COHO,ht,0,0,NA,NA
ID_080316_SHER_02,PALA,ht,0,0,0,0
ID_080316_SHER_02,PINK,ht,0,0,NA,NA
ID_080316_SHER_02,RNBT,ht,4,1,3,1
ID_080316_SHER_02,SOCK,ht,0,0,NA,NA
ID_081016_OHA_04,BRKT,ht,0,0,NA,NA
ID_081016_OHA_04,BUL2,ht,0,0,NA,NA
ID_081016_OHA_04,CCUT,ht,0,0,NA,NA
ID_081016_OHA_04,CHIN,ht,4,1,3,1
ID_081016_OHA_04,CHUM,ht,0,0,NA,NA
ID_081016_OHA_04,COHO,ht,0,0,NA,NA
ID_081016_OHA_04,PALA,ht,0,0,0,0
ID_081016_OHA_04,PINK,ht,0,0,NA,NA
ID_081016_OHA_04,RNBT,ht,4,1,3,1
ID_081016_OHA_04,SOCK,ht,0,0,NA,NA
ID_081016_OHA_05,BRKT,ht,0,0,NA,NA
ID_081016_OHA_05,BUL2,ht,0,0,NA,NA
ID_081016_OHA_05,CCUT,ht,0,0,NA,NA
ID_081016_OHA_05,CHIN,ht,4,1,3,1
ID_081016_OHA_05,CHUM,ht,0,0,NA,NA
ID_081016_OHA_05,COHO,ht,0,0,NA,NA
ID_081016_OHA_05,PALA,ht,0,0,0,0
ID_081016_OHA_05,PINK,ht,0,0,NA,NA
ID_081016_OHA_05,RNBT,ht,4,1,3,1
ID_081016_OHA_05,SOCK,ht,0,0,NA,NA
ID_081016_OHA_06,BRKT,ht,0,0,NA,NA
ID_081016_OHA_06,BUL2,ht,0,0,NA,NA
ID_081016_OHA_06,CCUT,ht,0,0,NA,NA
ID_081016_OHA_06,CHIN,ht,4,1,3,1
ID_081016_OHA_06,CHUM,ht,0,0,NA,NA
ID_081016_OHA_06,COHO,ht,0,0,NA,NA
ID_081016_OHA_06,PALA,ht,0,0,0,0
ID_081016_OHA_06,PINK,ht,3,1,NA,NA
ID_081016_OHA_06,RNBT,ht,4,1,3,1
ID_081016_OHA_06,SOCK,ht,0,0,NA,NA
ID_081016_OHA_07,BRKT,ht,0,0,NA,NA
ID_081016_OHA_07,BUL2,ht,2,1,NA,NA
ID_081016_OHA_07,CCUT,ht,0,0,NA,NA
ID_081016_OHA_07,CHIN,ht,4,1,3,1
ID_081016_OHA_07,CHUM,ht,0,0,NA,NA
ID_081016_OHA_07,COHO,ht,0,0,NA,NA
ID_081016_OHA_07,PALA,ht,0,0,0,0
ID_081016_OHA_07,PINK,ht,0,0,NA,NA
ID_081016_OHA_07,RNBT,ht,4,1,3,1
ID_081016_OHA_07,SOCK,ht,0,0,NA,NA
ID_081116_CRST_01,BRKT,ht,0,0,0,0
ID_081116_CRST_01,BUL2,ht,0,0,NA,NA
ID_081116_CRST_01,CCUT,ht,0,0,0,0
ID_081116_CRST_01,CHIN,ht,0,0,NA,NA
ID_081116_CRST_01,CHUM,ht,1,0,NA,NA
ID_081116_CRST_01,COHO,ht,0,0,NA,NA
ID_081116_CRST_01,PALA,ht,0,0,0,0
ID_081116_CRST_01,PINK,ht,0,0,NA,NA
ID_081116_CRST_01,RNBT,ht,4,1,3,1
ID_081116_CRST_01,SOCK,ht,0,0,NA,NA
OR_060519_BIGC_02,BRKT,ht,0,0,NA,NA
OR_060519_BIGC_02,BUL2,ht,0,0,NA,NA
OR_060519_BIGC_02,CCUT,ht,3,1,NA,NA
OR_060519_BIGC_02,CHIN,ht,0,0,NA,NA
OR_060519_BIGC_02,CHUM,ht,0,0,NA,NA
OR_060519_BIGC_02,COHO,ht,3,1,3,1
OR_060519_BIGC_02,PALA,ht,3,1,3,1
OR_060519_BIGC_02,PINK,ht,0,0,NA,NA
OR_060519_BIGC_02,RNBT,ht,3,1,3,1
OR_060519_BIGC_02,SOCK,ht,0,0,NA,NA
OR_060519_BIGC_03,BRKT,ht,0,0,NA,NA
OR_060519_BIGC_03,BUL2,ht,0,0,NA,NA
OR_060519_BIGC_03,CCUT,ht,4,1,NA,NA
OR_060519_BIGC_03,CHIN,ht,0,0,NA,NA
OR_060519_BIGC_03,CHUM,ht,0,0,NA,NA
OR_060519_BIGC_03,COHO,ht,4,1,3,1
OR_060519_BIGC_03,PALA,ht,4,1,3,1
OR_060519_BIGC_03,PINK,ht,0,0,NA,NA
OR_060519_BIGC_03,RNBT,ht,4,1,3,1
OR_060519_BIGC_03,SOCK,ht,0,0,NA,NA
OR_061119_BIGC_01,BRKT,ht,0,0,NA,NA
OR_061119_BIGC_01,BUL2,ht,0,0,NA,NA
OR_061119_BIGC_01,CCUT,ht,3,1,NA,NA
OR_061119_BIGC_01,CHIN,ht,0,0,NA,NA
OR_061119_BIGC_01,CHUM,ht,0,0,NA,NA
OR_061119_BIGC_01,COHO,ht,3,1,3,1
OR_061119_BIGC_01,PALA,ht,4,1,3,1
OR_061119_BIGC_01,PINK,ht,0,0,NA,NA
OR_061119_BIGC_01,RNBT,ht,4,1,3,1
OR_061119_BIGC_01,SOCK,ht,0,0,NA,NA
OR_061119_BIGC_16,BRKT,ht,0,0,NA,NA
OR_061119_BIGC_16,BUL2,ht,0,0,NA,NA
OR_061119_BIGC_16,CCUT,ht,4,1,NA,NA
OR_061119_BIGC_16,CHIN,ht,0,0,NA,NA
OR_061119_BIGC_16,CHUM,ht,0,0,NA,NA
OR_061119_BIGC_16,COHO,ht,0,0,0,0
OR_061119_BIGC_16,PALA,ht,0,0,3,1
OR_061119_BIGC_16,PINK,ht,0,0,NA,NA
OR_061119_BIGC_16,RNBT,ht,0,0,0,0
OR_061119_BIGC_16,SOCK,ht,0,0,NA,NA
OR_062320_LITR_01,BRKT,ht,0,0,NA,NA
OR_062320_LITR_01,BUL2,ht,0,0,NA,NA
OR_062320_LITR_01,CCUT,ht,4,1,NA,NA
OR_062320_LITR_01,CHIN,ht,4,1,NA,NA
OR_062320_LITR_01,CHUM,ht,0,0,NA,NA
OR_062320_LITR_01,COHO,ht,4,1,3,1
OR_062320_LITR_01,PALA,ht,4,1,3,1
OR_062320_LITR_01,PINK,ht,0,0,NA,NA
OR_062320_LITR_01,RNBT,ht,4,1,NA,NA
OR_062320_LITR_01,SOCK,ht,0,0,NA,NA
OR_062320_LITR_02,BRKT,ht,0,0,NA,NA
OR_062320_LITR_02,BUL2,ht,0,0,NA,NA
OR_062320_LITR_02,CCUT,ht,4,1,NA,NA
OR_062320_LITR_02,CHIN,ht,4,1,NA,NA
OR_062320_LITR_02,CHUM,ht,0,0,NA,NA
OR_062320_LITR_02,COHO,ht,4,1,3,1
OR_062320_LITR_02,PALA,ht,4,1,3,1
OR_062320_LITR_02,PINK,ht,0,0,NA,NA
OR_062320_LITR_02,RNBT,ht,4,1,NA,NA
OR_062320_LITR_02,SOCK,ht,0,0,NA,NA
OR_062420_LITR_03,BRKT,ht,0,0,NA,NA
OR_062420_LITR_03,BUL2,ht,0,0,NA,NA
OR_062420_LITR_03,CCUT,ht,0,0,NA,NA
OR_062420_LITR_03,CHIN,ht,0,0,NA,NA
OR_062420_LITR_03,CHUM,ht,0,0,NA,NA
OR_062420_LITR_03,COHO,ht,1,0,3,1
OR_062420_LITR_03,PALA,ht,4,1,3,1
OR_062420_LITR_03,PINK,ht,0,0,NA,NA
OR_062420_LITR_03,RNBT,ht,1,0,NA,NA
OR_062420_LITR_03,SOCK,ht,0,0,NA,NA
OR_062420_LITR_04,BRKT,ht,4,1,NA,NA
OR_062420_LITR_04,BUL2,ht,0,0,NA,NA
